activity_id,project_code,project,activity_name,type,fy,status,hypothesis_or_unknown,success_criterion,outcome_status,national_priority,closing_the_gap,overseas_finding,evidence_source,confidence
WT-O4to7,ACT-EL/JH,Overseas (moderate),"Voice-gate; offline consent; multinational RLS leak; intl justice-source ingestion",overseas (moderate strength),FY26-27,planned,"see world-tour finding draft","","planned","P2/P3/P5","","YES (weaker Cond.3 - adviser to test)","thoughts/shared/rd-pack-fy26/world-tour-overseas-finding-draft.md",med
ACT-GP-C1,ACT-JH+EL+CG,Governed-Proof (cross-platform),"Federated sovereignty-bounded proof assembler",core (NEW - strongest),FY26,"built; design-trail to capture","Capital + evidence + consent-gated voice fuse across 3 sovereignty-segmented systems into per-place proof bundles whose publish-ceiling is bounded by the most-restrictive constituent consent","richness maximised subject to a provable consent ceiling","built; algebra design-trail not yet captured","P3 + P5","Priority Reform 4","relates (EL/JH cores)","JusticeHub Governed-Proof; deepdive-justicehub-refugee.md",high
ACT-CG-C1m,ACT-CG,CivicGraph,"Entity-resolution autoresearch loop (self-improving)",core method (evidence for ACT-CG-C1),FY26,"built; TIMING FLAG","LLM-mutated resolver under a frozen eval harness + held-out ABN ground-truth self-improves F1 with commit-on-gain/revert-on-regression","F1 improvement vs frozen held-out set","autoresearch-log.jsonl: 24 iters, F1 76.9->94.1, mostly reverted","P5","",no,"grantscope scripts/benchmark/ + autoresearch-log.jsonl (DATED 2026-03-08 = PRE-Pty)","high (timing flag)"
ACT-JH-C2,ACT-JH,JusticeHub,"ALMA self-calibrating ethically-bounded extraction",core (moderate-strong),FY26,"built; logs to capture","Extraction quality + confidence calibration can be learned while provably refusing to learn ranking/optimisation of people","calibration improves (e.g. 0.2->0.03) with the no-rank-people invariant held","built; calibration run logs not yet captured","P2 + P3","Target 11; Reform 4",relates,"JusticeHub ALMA loop; deepdive-justicehub-refugee.md",med-high
ACT-JH-C3,ACT-JH,JusticeHub,"Ask-the-Matrix zero-fabrication legal retrieval",core (weak-moderate, emerging),FY26,emerging,"A legal-domain RAG can guarantee no hallucinated precedent and stay within an advice boundary","citation-coverage / zero-fabrication tests pass","RAG base known; constraint emerging; citation tests planned","P2 + P5","Target 11",no,"JusticeHub Ask-the-Matrix; deepdive-justicehub-refugee.md",low-med
ACT-EL-C1m,ACT-EL,Empathy Ledger,"PRISM cultural-field extraction + Guardian voice gate",core method (evidence for ACT-EL-C1 + WT-O1/O3),FY26,"built; versioned v2->v3","LLM extraction of community-defined sovereignty constructs into a stable gradeable schema; deterministic voice-drift gate with empirically-found thresholds","schema fidelity + gate precision found by iteration","built; v2.0/v3 versioning is the uncertainty trail","P3","Reform 4","yes (links WT-O1, WT-O3)","empathy-ledger transcript-analyzer-v3-claude.ts; guardian-checks.ts; deepdive-el-sovereignty.md",high
EXCL-1,ACT-IN,Considered/excluded,"tag-lcaa-phases (lookup table)",NOT-R&D,FY26,excluded,"deterministic lookup, no uncertainty","","","","",no,"thoughts/shared/handoffs/world-tour-tax-rd/rd-novelty-sweep.md",high
EXCL-2,ACT-IN,Considered/excluded,"suggestProject (regex heuristics)",NOT-R&D,FY26,excluded,"self-described heuristic, known solution","","","","",no,"rd-novelty-sweep.md",high
EXCL-3,ACT-IN,Considered/excluded,"receipt-gap classification (rules + thresholds)",NOT-R&D,FY26,excluded,"rules and thresholds, no experiment","","","","",no,"rd-novelty-sweep.md",high
EXCL-4,ACT-IN,Considered/excluded,"LLM cost-router",NOT-R&D,FY26,excluded,"config/routing, known solution","","","","",no,"rd-novelty-sweep.md",high
EXCL-5,Harvest,Considered/excluded,"The Harvest website",NOT-R&D,FY26,excluded,"content / known-solution web dev","","","","",no,"thoughts/shared/handoffs/world-tour-tax-rd/the-harvest.md",high
EXCL-6,KP,Considered/excluded,"Trip photography / image creation",NOT-R&D,FY26-27,excluded,"arts/humanities statutorily excluded; Knight Photography is a partnership","","","","",no,"thoughts/shared/rd-pack-fy26/world-tour-overseas-finding-draft.md",high
