,,,,,,
,From 1 Oct 2025 to 31 May 2026,,,,,
,2/9/2026,ORSO GASTRONOMIA PTY L ROSE PARK | Credit Card Purchase,213,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Orso Gastronomia (Adelaide, Rose Park) — restaurant meal while travelling, keep on the grounded code 449 under ACT-HV. AU domestic, GST on Expenses. No receipt on file — I'll provide the tax invoice."
,2/13/2026,AUSTRALIAN TOURIST PARK MYAMBA | Credit Card Purchase,232.96,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Australian Tourist Park (Myamba) — accommodation while travelling for work, code to ACT-CP travel/accommodation. AU domestic, GST on Expenses. No receipt on file — I'll provide the park's tax invoice. — DEXT/RECEIPT FOUND: xero_bill ""NRMA Blue Dolphin Yamba Holiday Resort"" $231.00 2026-02-12 (CLOSE (surcharge/tip/fx)); on file, can attach."
,2/16/2026,SQ *CANDLE SUPPLIES BRISB1800595310 | Credit Card Purchase,260,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Candle Supplies (Brisbane) — candle-making materials for Community Capital (ACT-CP), keep on grounded code 447. Receipt is already on file as a Xero bill. AU domestic supplier, GST on Expenses — no further info needed from me."
,2/19/2026,TULLAH LAKESIDE LODGE TULLAH | Credit Card Purchase,374.07,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[booking confirmation found — folio to confirm] Tullah Lakeside Lodge (Tasmania) — accommodation on a work trip, code to ACT-IN travel/accommodation. AU domestic, GST on Expenses. No receipt on file — I'll provide the lodge's tax invoice. RECEIPT FOUND (lead): booking confirmation for Tullah Lakeside Lodge in nicholas@act.place (25 Jan 2026) — the tax-invoice/folio amount isn't in the email body; will confirm the $374.07 on forward."
,2/25/2026,BIG W/OLD HUME HWY & ROSCMITTAGONG | Credit Card Purchase,388.2,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Big W purchase in Mittagong on a NSW trip — general supplies. Domestic AU retailer so GST on Expenses, code to ACT-IN. I don't have the receipt on file yet — I'll dig out the Big W tax invoice and send it through."
,2/26/2026,ADGE Hotel OPI Surry Hills | Credit Card Purchase,"2,161.19",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] ADGE Hotel, Surry Hills — accommodation on a Sydney business trip. Domestic, so GST on Expenses, code to Travel & Accommodation under ACT-IN. No tax invoice on file yet — I'll request the hotel folio and forward it."
,3/2/2026,SP RETRO OUTDOOR CO BAULKHAM HILL | Credit Card Purchase,"4,497.00",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[NEEDS YOUR CALL; receipt to provide; reviewer-corrected] $4,497 to SP Retro Outdoor Co (Baulkham Hills NSW) on 2 Mar 2026, an outdoor-furniture retailer. No tax invoice and no order email found in our mailboxes. NEEDS BEN: what was bought, which project, and the tax invoice (likely capital equipment; GST claimable only once the invoice is on file)."
,3/3/2026,ADGE Hotel OPI Surry Hills | Credit Card Purchase,209,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Another ADGE Hotel charge on the same Sydney trip — accommodation. Domestic, GST on Expenses, Travel & Accommodation under ACT-IN. I'll include this on the same hotel folio I'm requesting."
,3/30/2026,"HERTZ, RA, 643314792 SOUTH MELBOUR | Credit Card Purchase",598.57,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Hertz rental car, South Melbourne — travel on business. Domestic AU, GST on Expenses, code to Travel under ACT-IN. No receipt on file yet — I'll pull the Hertz tax invoice and forward it."
,4/1/2026,ADGE Hotel OPI Surry Hills | Credit Card Purchase,146.16,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] ADGE Hotel again — accommodation on the Sydney trip. Domestic, GST on Expenses, Travel & Accommodation under ACT-IN. Covered by the same hotel folio request."
,4/7/2026,Restaurace Alma Praha 1 | Credit Card Purchase,345.37,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,[receipt to provide] Business overseas-travel meal on Nic's trip delivering an art project at a European conference — code under The Confessional (ACT-CF) [or Gold.Phone if you prefer a dedicated code]. Overseas supplier -> GST-free. Not personal.
,4/30/2026,Hannah St Melbourne Melbourne | Credit Card Purchase,"1,495.20",,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide; reviewer-corrected] Melbourne hotel — confirmed by Ben as a BUSINESS trip for an art project (booking forwarded by Nathan Toleman / Mulberry Group, 24 Apr; charge 30 Apr). Code Travel & Accommodation under the relevant art project (e.g. The Confessional / ACT-CF — confirm which). Claim GST (~$135.93) once the hotel tax invoice is on file."
,5/8/2026,INTERNET BANKING TRANSFERMELBOURNE | Credit Card Cash Advance,174.65,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"Cash spent on the Harvest (ACT-HV), per Ben. No receipt -> BAS Excluded / no GST. Not Drawings."
,5/21/2026,MALL MEDICAL CENTRE Alice Springs | Credit Card Purchase,201.28,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide; reviewer-corrected] Business travel-medical for the Empathy Ledger project (ACT-EL), on the Alice Springs/Oonchiumpa field trip (21 May). Medical services are GST-free. Project = ACT-EL (confirmed the code exists). Not Drawings — a work expense."
,5/21/2026,COLEMANS PRINTING ALICE SALICE SPRINGS | Credit Card Purchase,240.05,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt located — forwarding] Colemans Printing is a print shop in Alice Springs — this was printed materials for the Oonchiumpa work (ACT-OO). Domestic supplier so GST on Expenses; I'll get you the tax invoice. Business expense, code to Printing & Stationery. No invoice on file yet, I'll provide it. RECEIPT FOUND: Colemans Printing tax invoice 'Invoice-CA120130.pdf' from alice.office@colemanprint.com.au in benjamin@act.place, 20 May 2026. Forwarding to SL."
,5/21/2026,Alicetronics Alice Springs | Credit Card Purchase,348.9,,SL: Need invoice for proper GST treatment or kindly confirm the nature of this transaction,"[receipt to provide] Alicetronics is an electronics shop in Alice Springs — tech/AV gear bought on the ground for the Oonchiumpa work (ACT-OO). Domestic supplier, GST on Expenses; I'll send the tax invoice. Business expense — check the itemised receipt as a single item may need to be booked as a capital asset rather than expensed. No invoice on file yet, I'll provide it."
